Denominazione circolo,Squadra,Longitudine,Latitudine
TENNIS CLUB MILANO ALBERTO BONACOSSA ASSOCIAZIONE SPORTIVA DILETTANTISTICA ,TENNIS CLUB MILANO -B,45.49052778218582,9.155236198079649
TENNIS CLUB BERGAMO ASSOCIAZIONE SPORTIVA DILETTANTISTICA,TENNIS CLUB BERGAMO,45.71489149345393,9.667866792719805
GGIOIASPORT SSD ARL,GGIOIASPORT,45.56989274744035,9.084542816682086
AS DILETTANTISTICA CANOTTIERI TICINO PAVIA ,CANOTTIERI TICINO PAVIA,45.17929958556001,9.142464161229128
SOCIETà CANOTTIERI MILANO ASSOCIAZIONE SPORTIVA DILETTANTISTICA ,CANOTTIERI MILANO ,45.4466336154936,9.149279453026901
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB LUINO,TENNIS CLUB LUINO,46.00518490530965,8.753858198098003
ECO SPORT TENNIS ASSOCIAZIONE SPORTIVA DILETTANTISTICA,ECO SPORT,45.63561581178707,8.796529023210867
AS DILETTANTISTICA TENNIS CLUB 30 PARI ,T.C. 30 PARI,45.17352565529628,9.640816284564748
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB STEZZANO,TENNIS CLUB STEZZANO,45.64527819386485,9.648184725066427
SOCIETà SPORTIVA DILETTANTISTICA CIRCOLO TENNIS PARABIAGO S.R.L.,CIRCOLO TENNIS PARABIAGO,45.56448713979382,8.952546998082267
ALTE GROANE CLUB AS DILETTANTISTICA,ALTE GROANE,45.67586281833904,9.108519971104943
ASSOCIAZIONE SPORTIVA DILETTANTISTICA SPORTREND TENNIS,SPORTREND TENNIS,45.49552800956176,9.416441690030089
TENNIS CLUB ROVELLASCA ASSOCIAZIONE SPORTIVA DILETTANTISTICA,TENNIS CLUB ROVELLASCA ,45.66526153818967,9.056892298085847
A.S.D. TENNIS CLUB CIS CHIAVENNA,CIS CHIAVENNA ,46.3218197146723,9.407719625090662
SANZENOTENNIS 2011 ASSOCIAZIONE SPORTIVA DILETTANTISTICA,SANZENOTENNIS 2011,45.15332558604975,10.017471484173733
PRO TENNIS SCHOOL A.S.D. ,PRO TENNIS SCHOOL,45.476006446979184,10.249165483845365
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS E SPORTS OPEN,TENNIS E SPORTS OPEN,45.65022257607078,9.268067753903066
U.S. SCANZOROSCIATE DILETTANTISTICA ,U.S. SCANZOROSCIATE,45.70793821382571,9.744885155760278
ASSOCIAZIONE SPORTIVA DILETTANTISTICA TENNIS CLUB OGGIONO,TENNIS CLUB OGGIONO,45.79340733783776,9.334666753908152
JUNIOR TENNIS MILANO 'DARIO MATTEI GENTILI' S.S.D. A R.L.,JUNIOR TENNIS MILANO,45.467945636436006,9.239643842261122
